title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Good Luck!!	Japanese	2003	Drama, comedy, romance comedy	Tokyo Broadcasting System	Nobuhiro Doi	Hiroki Ueda Hiroki Ueda, Katsuaki Setoguchi	10	Takuya Kimura, Shinichi Tsutsumi, Kou Shibasaki, Rina Uchiyama, Takenaka Naoto, Yasunori Danta, Hitomi Kuroki, Jun Kaname, Yoon Son Ha	is a 2003 Japanese television drama starring Takuya Kimura. The story revolves around an up-and-coming pilot, Hajime Shinkai, and portrays his interactions with others as he progresses along the road to becoming a captain. As is common in many Japanese drama series, it blends drama and romance with comedic elements. This drama also emphasizes hardship of being a pilot or a cabin crew, and the serious nature of the industry they're in, which puts thousands of lives in its hands.	Good Luck!! topped the Japanese drama ratings with 35% of the Japanese viewership in 2003.&lt;ref&gt; &lt;/ref&gt; The first episode aired on January 19, 2003, with ratings of 31.6%, the third highest ratings of an opening episode, behind Beautiful Life and HERO, also starring Takuya Kimura. The single episode ratings are as follows:&lt;ref&gt;&lt;/ref&gt; {| class=&quot;wikitable&quot; style=&quot;clear:both; margin-left:2em; margin-right:2em;&quot; ! width=100 | Episode ! width=100 | Nationwid...	
FNN Date Line	Japanese								FNN Date Line 0 626968 1282463762 1282463573 2025-03-26T15:38:21Z Coldupnorth 91689 update template 1282463762 wikitext text/x-wiki FNN Date Line was the last news television program of the night on Fuji Television in Japan. It was broadcast with that name from October 1987 to March 1990.		
Super Sentai	Japanese								The is a Japanese superhero team media franchise consisting of television series and films produced by Toei Company and aired by TV Asahi. The shows are of the tokusatsu genre, featuring live action characters and colorful special effects, and are aimed at children, teens and young adults. Super Sentai airs alongside the Kamen Rider series in the Super Hero Time programming block on Sunday mornings. In North America, the Super Sentai series is best known as the source material for the Power Rang...		
A Kindred Spirit	Hong Kong	1995	Drama	Television Broadcasts Limited		Tsui Yu On	1		A Kindred Spirit () is a television drama series that was broadcast on TVB Jade in Hong Kong from 15 May 1995 to 13 November 1999. It is one of the longest running drama shows in Hong Kong television history (the longest being the sitcom Hong Kong 81 series). Its exceptional longevity is unusual for a city where scripted TV drama programs typically only last around 20 episodes. The total number of episodes is 1,128. One episode were aired per day, on Monday to Friday. The show centres on a famil...		
Japanese television drama	Japanese								Japanese television drama 0 796129 1318195228 1317915413 2025-10-22T13:33:41Z InternetArchiveBot 27015025 Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.9.5 1318195228 wikitext text/x-wiki , also called or J-drama, are television programs that are a staple of Japanese television and are broadcast daily.		
Long Vacation	Japanese	1996	Drama, romance	Fuji Network System, Fuji TV	Masayuki Suzuki Masayuki Suzuki	Executiveproducer	11	Takuya Kimura, Tomoko Yamaguchi, Yutaka Takenouchi, Takako Matsu, Izumi Inamori, Ryō, Leo Morimoto, Ryōko Hirosue, Kosuke Toyohara	Long Vacation (, also known as ) is a Japanese television drama series from Fuji Television, first shown in Japan from 15 April to 24 June 1996. The show's high ratings in Japan made Takuya Kimura popular in the Asia-Pacific region and is known as "The King of Ratings". It also made Tomoko Yamaguchi a known actress in Japan. The characters in the series have something in common: if not jobless, they can do no better than secure a temporary job. This is a portrayal of a time when Japan was plague...	When the series debuted in Japan, it was so popular with the female audience that the expression was used to highlight its fanbase.&lt;ref name=&quot;FUJITVLV&quot;/&gt; This was because the series was broadcast on Monday evenings. The episodes had an average rating of 29.5% of viewers, with the final episode reaching 36.7%.&lt;ref name=&quot;FUJITVLV&quot;/&gt; According to a research study conducted by NHK in 2009, the bulk of viewers were those who were teenagers (13 or older), at 40% of view...	
Shall We Dance?	Philippine	2005	Reality competition	TV5	Rich Ilustre	Perci Intalan	10		Shall We Dance? is a Philippine television reality competition show broadcast by . Hosted by Lucy Torres-Gomez, it aired from November 6, 2005 to March 28, 2010, and was replaced by My Darling Aswang. This is the first ever television program in the Philippines to use a steadicam.		
The Unfettered Shogun	Japanese	1978	creator              =	TV Asahi	Developer		831	Ken Matsudaira, Tadashi Yokouchi, Saburō Kitajima, Masumi Harukawa, Jōji Yamamoto, Akiko Ikuina, Yūki Matsumura, Yōko Ishino, Ichirō Arishima, Eiji Funakoshi, Tadao Takashima, Akira Nagoya, Shigeru Kōyama, Hiroshi Miyauchi, Shun'ya Wazaki, Yōko Natsuki, Shigeru Araki, Asaka Mayumi, Kiyotaka Mitsugi, Takayuki Godai	(Abarenbō Shōgun) was a Japanese television program on the TV Asahi network. Set in the eighteenth century, it showed fictitious events in the life of Yoshimune, the eighth Tokugawa shōgun. The program started in 1978 under the title Yoshimune Hyōbanki: Abarenbō Shōgun (Chronicle in Praise of Yoshimune: The Unfettered Shōgun) who went after rogue councilors and daimyō who were abusing their power. After a few seasons, they shortened the first two words and the show ran for two decades under the ...	The series has been called &quot;the origin and pinnacle of 'Shogun' dramas&quot;.&lt;ref&gt;https://tokytunes.com/news-tunes-4908/&lt;/ref&gt;	
Tonight with Arnold Clavio	Philippine	2010	Talk show	GMA News TV, Q, [[GMA News TV]], [[Q |Q]]	Noel Cabacungan				Tonight with Arnold Clavio is a Philippine television talk show broadcast by Q and GMA News TV. Hosted by Arnold Clavio, it premiered on Q on April 5, 2010. The show concluded on Q on February 18, 2011. It started airing on GMA News TV on February 28, 2011. The show concluded on GMA News TV on March 11, 2020.		
Dragon Club	Chinese								Dragon Club 0 931969 819290958 819283281 2018-01-08T15:22:20Z MrX 10539714 Reverted to revision 679923896 by BattyBot (talk): Restored redirect per WP:GNG and WP:V. Wikipedia content must be sourced. (TW) 819290958 wikitext text/x-wiki #REDIRECT List of Disney TV programming blocks Category:1994 Chinese television series debuts Category:First-run syndicated television programs b6lv40n1isl06pzazi7rmyd9l0ar3fw		
Singapore Idol	Singaporean	2004		Channel 5			54		Singapore Idol was a Singaporean reality television singing competition produced by MediaCorp Studios and FremantleMedia Operations BV. It began airing on MediaCorp Channel 5 on 9 August 2004 until 27 December 2009, as an addition to the Idol franchise based on the British show Pop Idol, and became one of the most popular shows in the history of Singaporean television. The concept of the series is to find new solo recording artists where the winner is determined by the viewers. The series employ...		
Under One Roof	Singaporean	1995		Channel 5	Andrea Teo, Wee Thye Seah, Colin Caines, Gim Hwee Chong, Khairul Anwar, Jennifer Tan		137	Moses Lim, Koh Chieng Mun, Vernetta Lopez, Nicholas Lee, Daisy Irani, Selena Tan, Richard Ng, Sheikh Haikel, Andrew Lim, Norleena Salim, Zaibo, Rajiv Dhawn, Sheila Wyatt	Under One Roof was an English-language sitcom in Singapore. First aired in 1995, it was the first locally produced sitcom in Singapore. A critical and popular success, the show won the Best Comedy Programme or Series Award at the Asian Television Awards in both 1996 and 1997, a Best comedy actor award (Moses Lim in 1996), three best comedy actress awards (Koh Chieng Mun in 1996, Norleena Salim in 1997, and Vernetta Lopez in 1999) and was a finalist in the "Best Sitcom" category at the Internatio...		
Hitotsu Yane no Shita	Japanese	1993	creator              =		Kozo Nagayama		12		is a Japanese television series. It had a first season in 1993 and a second season, titled Hitotsu Yane no Shita 2, in 1997. It was very popular in Japan, with its highest rating being 34 percent and it was also exported to other regions in East Asia. It features Yōsuke Eguchi, Noriko Sakai and Masaharu Fukuyama as its leading characters.		
To Catch the Uncatchable	Hong Kong	2004	Modern romantic Comedy	TVB Jade			25		To Catch the Uncatchable (棟篤神探) is a 25-episode TV drama series produced by TVB of Hong Kong, which stars Dayo Wong as the genius (albeit physically weak and with asthma) CID Mok Tsok Tung (莫作棟) and Ada Choi as Vivi Lee Wai Wai (李慧慧), an insurance agent, with Marco Ngai and Michael Tong as major background characters. The title of the series is of Cantonese word-play and innuendo (the title itself means "The Hilarious God Detective"), and the series itself sets itself apart from other TVB comedi...	This ending received a large amount of feedback; in which one side praised it for its groundbreaking, unorthodox dour ending in a comedy drama, in contrast to TVB's usual endings (also known as the &quot;happily-ever-after-plus&quot; ending.) The other side criticized it for the unexpectedly dour ending in a comedy drama, which was too sharp of a contrast to the lightness of the series. The latter opinion won out after they flooded newspapers, internet forums and newsgroups, and TVB claims that ...	
The Greed of Man	Hong Kong	1992	Dramatic programming, Financial thriller	TVB Jade	Yuen Ying Ming, Yau Nam Lung, Lau Chun Ming, Wong Chun Man, Lam Kin Lung, Fung Pak Yuen, Lin Chi Fan	Wai Ka Fai	40		The Greed of Man is a Hong Kong television series first broadcast on TVB Jade in 1992. The story, spanning three decades from the 1970s to the 1990s in Hong Kong and Taiwan, addresses various social and financial phenomena of the times, from triad violence to corruption in the Hong Kong Stock Exchange. It featured a top roster cast, including veteran TVB actors Adam Cheng and Damian Lau and award-winning actor Sean Lau. The series is also well remembered for a Hong Kong stock market cultural phe...	The first episode of The Greed of Man starts in medias res with Ting Hai hurling his four adult sons from the top of the stock exchange building after losing his fortunes in the stock market. Upon the show's initial run in 1992, the audience found the scene so disturbing that the resulting torrent of complaints forced TVB to make several adjustments to the programme. The drama was moved from the 7 o'clock timeslot to the 9 o'clock timeslot after the first week of airing, and several sensitive sc...	
Tokusou Sentai Dekaranger	Japanese	2004	Mystery fiction, Police procedural, Science fiction, Superhero fiction, Thriller (genre), Tokusatsu	All-Nippon News Network	Katsuya Watanabe	Schreck Hedwick Small Hideaki Tsukada Small Masamichi Tsuchida Small Kōichi Yada Small	50		is a Japanese Tokusatsu television show and the twenty-eighth production of the Super Sentai metaseries produced by Toei. It aired from February 15, 2004, to February 6, 2005, replacing Bakuryū Sentai Abaranger and was replaced by Mahō Sentai Magiranger. The program was part of TV Asahi's 2004 Super Hero Time block with Kamen Rider Blade. The action footage from the show was used for the American series, Power Rangers S.P.D.. Shout! Factory released the series on Region 1 DVD in the United State...		
Chinese television drama	Chinese								Chinese television drama 0 1027563 1312718769 1312611942 2025-09-22T06:29:31Z 2601:14F:8000:1190:855F:6615:8BC7:97EE /* Characteristics */ dubious 1312718769 wikitext text/x-wiki Chinese television dramas (), sometimes colloquially known as C-dramas, are Chinese-language television drama series originating from China (mainland), sometimes including co-productions with the Greater China region. Popular drama series genres in China include fantasy romance, period costume, contemporary urban and th...		
Hot Shot	Taiwanese	2008	Comedy, Sport	China Television	Zh		16		Hot Shot () is a Taiwanese drama starring Jerry Yan of F4, Show Lo, and Wu Chun of Fahrenheit. It was produced by Comic International Productions (可米國際影視事業股份有限公司) and directed by Lin He Long (林合隆). It was first broadcast in Taiwan on free-to-air China Television (CTV) (中視) from 27 July 2008 to 9 November 2008, on Sundays at 22:00 to 23:30 and cable TV Gala Television (GTV) Variety Show/CH 28 (八大綜合台) on 2 August 2008 to 15 November 2008, every Saturday at 21:30 to 23:00. This show was also broadc...		
Ainori	Japanese	1999	creator            =	Fuji Network System					, literally "love ride" but can also be read "ride together" or "car pool", is a popular television program that runs Monday evenings from 11 pm in Japan on Fuji TV. It debuted on October 11, 1999. The show originally ended on March 23, 2009 but returned under the name "Ainori 2" on December 25, 2010, running through April 30, 2011. Ainori was revived by Fuji TV and Netflix beginning with Asian Journey, which was first broadcast on the streaming platform in November 2017 and on Fuji TV in Januar...		
Zhima Jie	Chinese	1998		Shanghai Television			130		Zhima Jie () is the Chinese co-production of Sesame Street. The show was produced from 1998 to 2001, for a total run of 130 half-hour episodes. It was filmed in Shanghai and aired on Shanghai Television.		
Kamen Rider Ryuki	Japanese	2002	Battle royal, Portal fantasy, Superhero fiction, Tokusatsu	TV Asahi	Ryuta Tasaki	Kazuo Tsuburai, Ltsmall, Gt, Lt, Small, Gt Chiharu Nakasone, Gt Shinichiro Shirakura, Gt Naomi Takebe	50		is a Japanese tokusatsu television series. The twelfth installment in the Kamen Rider Series, it was a joint collaboration between Ishimori Productions and Toei, and it was shown on TV Asahi from February 3, 2002 to January 19, 2003. The series marked the franchise's switch from Columbia Music Entertainment to Avex Group, which continues to produce music for the series today. The series aired along with Ninpu Sentai Hurricanger. It is the first series debuted an animal, knights, cards, and battl...		
Summer Scent	South Korean	2003	Melodrama, Romance film	KBS2	Yoon Seok Ho	Kim Chul Kyu	20	Song Seung Heon, Son Ye Jin, Ryu Jin, Han Ji Hye, Shin Ae, Jo Eun Sook, Kim Hae Sook, Kim Yong Gun, Kang Ji Hwan, Ahn Jung Hoon, Ha Jae Young			
Paradise Ranch	South Korean	2011	Drama film	Seoul Broadcasting System	Kim Chul Kyu	Samhwa Networks, Sm Entertainment	16	Changmin, Lee Yeon Hee, Joo Sang Wook, Yoo Ha Na, Chun Ho Jin, Im Soo Hyang, Jang Yong, Ahn Suk Hwan, Na Young Hee, Lee Si Eon, Jung Eun Pyo, Yoon Ji Min, Jo Sung Ha, Song Yoo Hyun, Choi Soo Young, Jin Tae Hyun, Park Soo Hyun, Lee Doo Il, Yoon Ye Hee, Choi Jong Yoon	Paradise Ranch () is a 2011 South Korean television series that aired on SBS. It stars Lee Yeon-hee and Shim Chang-min as a divorced couple who married when they were 19, then meet six years later and rediscover their feelings for each other. It was filmed on location in Jeju and Australia.		
Kangxi Dynasty	Chinese	1997	Historical drama		Chen Jialin, Liu Dayin, Chen Weiguo, Liu Jiankui, Li Ming	Liu Dayin, Liu Yingang, Ying Lijuan	50	Chen Daoming, Siqin Gaowa, Li Nan, Chen Weizhen, Gao Lancun, Xue Zhongrui, Li Jianqun, Ru Ping, Hu Shanshan, Hu Tiange, Liao Jingsheng, An Yaping, Liu Ting, Li Hongtao, Liu Dayin, Lu Yong, Cao Yongxiang, Su Tingshi, Hou Yongsheng, Liu Jun	Kangxi Dynasty is a 2001 Chinese television series based on the novel Kangxi Da Di (康熙大帝; The Great Kangxi Emperor) by Eryue He. The series is a prequel to the 1997 television series Yongzheng Dynasty, and was followed by Qianlong Dynasty in 2002.	Although the series was generally popular, it received lower ratings than its predecessor, Yongzheng Dynasty, a similar television series about the Kangxi Emperor's son and successor, the Yongzheng Emperor. The series was criticised by some for being wrought with historical inaccuracies. Critics also pointed out its unnecessary emphasis on Taiwan, a contemporary issue. Some major events during Kangxi's reign were omitted, such as his contributions to the Chinese language with the Kangxi Dictiona...	
Hey! Spring of Trivia	Japanese	2002	game show, television comedy		Creativedirector				Hey! Spring of Trivia is the name given by Spike TV to the show , a Japanese comedy game show on Fuji TV.		
Pa-Pa-Pa-Pa-Puffy	Japanese	1997			Hiroaki Ito	Takao Yamamoto			Pa Pa Pa Pa Puffy (also known as Pa-Pa-Pa-Pa Puffy, ) is a variety TV show which aired in Japan (TV Asahi) from 1 October 1997 to 27 March 2002, and re-aired as a PUFFY 10th anniversary broadcast for a short time in 2006. It was hosted by Ami Onuki and Yumi Yoshimura. Rodney Alan Greenblat was responsible for most of the visual design of the show. Pa-Pa-Pa-Pa-Puffy featured guests such as Lenny Kravitz, Sylvester Stallone, Harrison Ford, Aerosmith, and rock band Garbage.		
Spheres	South Korean	2003	Animated television series		Byeon Yeong Kyoo	An Seong Eun, Kim Mi Ryeong, Cheon Chae Jeong	26		Spheres () is a South Korean animated television series comprising 26 episodes, first broadcast by Studio Kaab on MBC TV in 2003. The now-defunct Studio Kaab went on to animate the series Nalong, the flying squirrel from Spheres.		
Wuri's Family	South Korean	2001		MBC TV			20		, , & ; report bugs 1279277467 wikitext text/x-wiki Wuri's Family (aka My Home or Our House) was a popular South Korean household drama produced by JS Pictures for MBC. It aired from November 9, 2001, to March 29, 2002 for 20 episodes.		
Hotelier	South Korean	2001	Drama, Romance film	Munhwa Broadcasting Corporation	Jang Yong Woo	Shin Ho Kyun	20	Bae Yong Joon, Song Yoon Ah, Kim Seung Woo, Song Hye Kyo, Youn Yuh Jung, Park Jung Chul, Joo Hyun, Han Jin Hee, Choi Hwa Jung, Huh Joon Ho, Kim Yong Hee, Yeo Hyun Soo, Shin Shin Ae, Kim Hee Jung, Choi Yong Min, Kim In Moon, Kim Na Rae, Myung Gye Nam, Lee Gae In, Yoon Yong Hyun			
Glass Slippers	South Korean	2002	Melodrama	Seoul Broadcasting System	Choi Yoon Seok	Executiveproducer	40	Kim Hyun Joo, Ha Seung Ri, Kim Ji Ho, Han Jae Suk, Choi Woo Hyuk, So Ji Sub, Kim Gyu Ri, Park Eun Bin, Kim Jung Hwa, Baek Il Seob, Song Ok Sook, Lee Ki Young, Sung Dong Il, Yoo Hae Won, Ha Jae Young, Kim Chung Ryeol, Shin Tae Hoon, Lee Hee Do, Kim Chung, Hyun Suk	Glass Slippers () is a 40-episode South Korean drama series that aired on SBS in 2002, starring Kim Hyun-joo and Kim Ji-ho as two orphaned sisters.		
Papa	South Korean	1996	Drama film, Family film, Romance film	Korean Broadcasting System	Jeon Ki Sang, Ltref, Gtusurped Https, Web Archive Org, Web, Http, Www Cineseoul Com, Movies, People Htmlpeopleid Cineseoul Profile, Lt, Ref, Gt	Jun Ki Sang	18	Bae Yong Joon, Lee Young Ae, Jung Chan, Lee Hye Young, Choi Jong Won, Kim Kyu Chul, Cha Tae Hyun, Yoon Son Ha, Kim Min Hee, Park Sol Mi, Park Chung Hyun, Lee Jae Ni, Lee Jung Yoon, Choi Kang Won, Kim Yong Ju, Kim Yeong Ju, Im Chan Ho, Kim Kyung Eung	Papa () is a 1996 South Korean television series that aired on KBS2 from January 3 to February 29, 1996 with a total of 18 episodes.		
Mina	South Korean	2001	Drama film, Romance film	Korean Broadcasting System	Kim Jae Soon	Lee Seong Yeon	16	Chae Jung An, Kim Sa Rang, Kim Seung Soo, Ahn Jae Mo, Shin Ae, Han Jin Hee, Han Hye Sook, Baek Il Seob, Kim Min Jung, Lee Chang Hoon, Kim Mu Saeng, Kim Min Ho, Kang Yi Seul, Yoon Ji Heon, Choi Sang Hak, Oh Ji Hye, Cha Joo Ok, Hong Choong Min			
Kōhaku Uta Gassen	Japanese	1951		NHK General TV, NHK Radio 1, NHK World Premium			75		, more commonly known simply as Kōhaku, is an annual New Year's Eve television special produced by Japanese public broadcaster NHK. It is broadcast live simultaneously on television and radio, nationally and internationally by the NHK network and by some overseas (mainly cable) broadcasters who buy the program. The show ends shortly before midnight. Before the show began broadcasting on television in late 1953, the show was held on 3 January and only consisted of a radio broadcast. The program d...		
All In	South Korean	2003	Action (genre), Drama film, Romance film	SBS TV	Yoo Chul Yong, Kang Shin Hyo	Kim Hyeong Seok	24		All In () is a 2003 South Korean television drama series that aired on SBS TV from 15 January to 3 April 2003, on Wednesdays and Thursdays at 21:55 (KST) for 24 episodes. Inspired by the life of professional poker player Jimmy Cha, it starred Lee Byung-hun and Song Hye-kyo in a story about one's man's rise through the fiercely competitive world of casino gambling as he clashes with his rivals over money, success, and love. The drama was a ratings success in South Korea, with its final episode re...		
Police Cadet '84	Hong Kong	1984	Action, Police Drama		Creativedirector	Chiu Chun Keung	40		Police Cadet '84 () is a 1984 TVB police drama TV series which starred then up and coming stars such as Tony Leung, Maggie Cheung, Carina Lau, and Sean Lau. The story centers on young police cadets' struggles and life at the Police Cadet Academy (based on the Royal Hong Kong Police Cadet School). Tragedy, romance, conflicts, and intrigues were featured. The series was followed by two sequels, Police Cadet '85 and Police Cadet '88.		
Magic Touch of Fate	Chinese						20	Ruby Lin, Alec Su, Kangta	Magic Touch of Fate (魔術奇緣) is a 2005 Chinese television series created and directed by Jang Su-bong, starring Ruby Lin, Alec Su, and Kangta. Its storyline involves the world of magic and spells.		
Amor de Tarapaca	Taiwanese	2004	Romance	Chinese Television System	Ruby Lin, Han Jae Suk	Yan Da Ke, Wang Wei, Wu Jin Ying	40	Han Jae Suk, Ruby Lin, Victor Huang, Sun Xing, Ivy Yin, Melody Yin, Shi Yinan, Sunny Tu, Lin Mei Zhen, Shang Zhi Wei	Amor de Tarapaca () is a 2004 Taiwanese television series adapted from the Japanese comic Candy Candy. It stars Han Jae-suk and Ruby Lin. The story gradually unfolds from the bustling streets of Taipei to a Chilean vineyard, and finally to the beautiful mountains of Yunnan, China. It is a passionate tale of two destined lovers, threatened with dangerous obstacles of two generations of matters. The series was broadcast on free-to-air CTS in June 2004 and on Hong Kong's ATV.		
Boy &amp; Girl	Chinese			China Central Television		Stanley Tong	20	Ruby Lin, Lu Yi, Zeng Li, Feng Shaofeng, Jiang Hua	Boy & Girl (Traditional Chinese: 男才女貌, Pinyin: Nan Cai Nu Mao), also known as Love in the City, is a youth drama in China. When broadcast in 2003 on China Central Television (CCTV) in 2003, it dominated over all other series with an average of 80 million audience each night. The story introduces you into the lives of the young generation from real-life obstacles to seeking a lover in the modern society. This drama stars Ruby Lin and Lu Yi. This drama ranked 2nd place of highest view rating of Ch...		
Only You	Chinese								Only You (2002 TV series) 0 1425941 1226557953 1151358757 2024-05-31T12:08:38Z Theshubhz 19162327 /* Main Characters Summary */clean up, typo(s) fixed: ’s → 's (3) 1226557953 wikitext text/x-wiki {| border="1" cellpadding="2" width="300" cellpadding="2" cellspacing="0" align="right" ! colspan="2" bgcolor="fffff" | Only You |- ! colspan="2" | (非你不可) center|190px |- | width="150" | Mandarin Pinyin | width="150" | Fei Ni Bu Ke |- | width="150" | Main Cast | width="150" | Ruby Lin Chen Kun |- | widt...		
Ruler of Your Own World	South Korean	2002		Munhwa Broadcasting Corporation	Park Sung Soo	Jang Keun Soo	20	Yang Dong Geun, Lee Na Young, Gong Hyo Jin, Lee Dong Gun, Shin Goo, Youn Yuh Jung, Lee Hye Sook, Kim Hye Sun, Jeon Hye Jin, Kim Jae Wook, Jo Kyung Hwan, Lee Se Chang, Kim Myung Kook, Heo In Bum, Kim Jae Man	Ruler of Your Own World () is a 2002 South Korean television series starring Lee Na-young and Yang Dong-geun. It was written by In Jung-ok and directed by Park Sung-soo. The series was praised by critics for its realism, strong acting, and refusal to rely on K-drama conventions. While its viewership ratings were considered moderate, the series garnered a fervent fanbase, and the home video release of the series saw record-breaking DVD sales for a South Korean production.		
Phua Chu Kang Pte Ltd	Singaporean	1997		Channel 5			167	Gurmit Singh, Irene Ang, Pierre Png, Tan Kheng Hua, Neo Swee Lin, Lim Kay Siu, Henry Thia, Marcus Ng Yi Loong, Charlie Tan, Ray Kuan, Wendy Ng	Phua Chu Kang Pte Ltd is a Singaporean sitcom created by Andrea Teo for Mediacorp's Channel 5. Written and produced by Ong Su Mann, it ran for eight seasons from 25 September 1997 to 11 February 2007. The sitcom centres around Phua Chu Kang (Gurmit Singh), an eccentric general contractor who wears yellow boots and is portrayed as an "Ah Beng", and his family, portrayed by Irene Ang, Pierre Png, Tan Kheng Hua, Marcus Ng Yi Loong, and Neo Swee Lin. Charlie Tan and Ray Kuan portray Phua's blue-coll...		
